0,1,2,3,4
1,48,-1,54,22
2,35,58,42,28
3,36,55,65,-1
4,45,-1,25,10
5,35,-1,45,6
6,50,59,48,26
7,-1,47,35,24
8,22,54,33,-1
9,47,62,-1,-1
10,36,57,39,27
11,-1,52,50,21
12,-1,56,-1,14
13,52,58,36,-1
14,61,42,-1,18
15,46,58,35,-1
16,36,69,43,15
17,47,55,29,14
18,40,-1,51,29
19,46,50,38,13
20,32,62,-1,24
21,-1,-1,33,16
22,24,74,56,22
23,29,-1,55,22
24,39,67,41,-1
25,55,-1,53,19
26,29,71,45,23
27,43,49,-1,20
28,21,56,60,25
29,35,-1,32,21
30,33,-1,-1,28
31,52,41,39,25
32,-1,-1,44,-1
33,60,40,37,33
34,41,62,46,23
35,41,-1,30,11
