0,1,2,3,4,5,6,7
1,-1,79,-1,17,20,22,54
2,60,53,45,21,33,12,65
3,39,-1,-1,-1,-1,-1,-1
4,33,58,55,8,42,17,46
5,-1,40,47,30,51,16,-1
6,54,58,31,29,46,16,39
7,48,63,59,-1,53,-1,49
8,44,70,53,5,-1,13,43
9,-1,66,-1,16,44,33,34
10,56,69,54,13,47,32,56
11,39,-1,29,15,34,37,25
12,27,53,43,30,51,34,34
13,-1,77,39,22,36,20,48
14,28,50,42,27,-1,-1,63
15,-1,-1,-1,11,41,23,-1
16,-1,-1,55,21,42,29,61
17,38,-1,34,8,35,18,-1
18,35,51,-1,19,47,-1,52
19,41,39,27,-1,-1,13,60
20,-1,68,38,-1,-1,-1,-1
21,-1,-1,29,14,45,31,52
22,37,51,53,29,49,19,27
23,54,67,38,-1,38,26,49
24,5,43,38,47,-1,16,62
25,39,56,33,-1,19,-1,49
26,-1,68,-1,8,33,18,55
27,44,77,-1,23,38,12,35
28,42,-1,45,14,13,6,-1
29,-1,36,38,16,43,6,49
30,-1,-1,-1,17,-1,-1,41
31,19,74,46,10,37,-1,43
32,-1,-1,41,11,43,19,58
33,32,45,26,26,28,25,55
34,37,65,53,11,37,-1,40
35,49,62,44,17,58,26,52
36,23,56,54,-1,62,-1,34
37,35,49,44,21,30,-1,55
38,44,-1,-1,34,49,24,-1
39,40,38,30,-1,34,20,-1
40,36,63,37,-1,44,25,48
41,31,-1,57,20,57,22,54
42,49,46,-1,19,41,24,63
43,44,65,48,-1,52,23,38
44,49,80,31,35,51,14,-1
45,30,68,32,12,58,24,35
46,22,82,28,17,34,-1,52
47,53,-1,-1,17,43,19,48
48,-1,62,-1,-1,-1,-1,-1
49,-1,55,44,16,30,24,51
50,35,42,-1,15,31,21,52
